Month_Year,Region,Crop,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Soil_Texture,Soil_Saturation_pct,Land_Size_acres,Past_Yield_tons_acre,Suitable_Crop
01-2016,Central,Beans,60.73,17.65,77.18,6.81,Loam,45.7,3.67,0.65,Tea
01-2016,Central,Beans,31.35,18.41,73.86,6.25,Sandy Loam,32.9,5.49,0.541,Tea
01-2016,Central,Maize,70.33,14.19,68.58,5.9,Loam,65.2,5.39,1.479,Tea
01-2016,Central,Potatoes,49.5,16.71,67.2,6.58,Clay Loam,61.5,6.29,4.736,Tea
01-2016,Central,Maize,34.24,15.1,76.53,5.92,Sandy Loam,58.9,9.71,1.791,Tea
01-2016,Central,Beans,67.99,18.43,71.07,6.08,Clay Loam,74.6,3.17,0.93,Tea
01-2016,Central,Coffee,55.56,17.04,66.58,6.44,Loam,57.4,7.83,0.803,Tea
01-2016,Central,Potatoes,20.66,17.23,74.65,6.59,Sandy Loam,34.1,6.83,3.694,Tea
01-2016,Central,Coffee,59.57,13.79,74.61,6.17,Loam,55.9,5.19,1.216,Tea
01-2016,Central,Potatoes,33.87,17.85,60.65,6.62,Sandy Loam,39.1,2.43,5.081,Tea
01-2016,Central,Coffee,94.52,20.06,74.34,6.56,Sandy Loam,47.0,2.27,1.515,Tea
01-2016,Central,Maize,86.99,18.44,69.53,6.47,Clay Loam,76.1,3.85,1.057,Tea
01-2016,Central,Beans,49.64,14.88,87.56,6.14,Sandy Loam,41.1,5.43,0.917,Tea
01-2016,Central,Maize,53.56,17.81,56.65,6.19,Clay Loam,67.2,3.78,1.639,Tea
01-2016,Central,Maize,55.97,22.94,87.72,5.42,Loam,61.9,7.42,1.375,Tea
01-2016,Central,Potatoes,87.99,21.48,64.95,6.23,Clay Loam,69.6,8.65,2.859,Tea
01-2016,Central,Beans,67.38,15.62,67.71,6.64,Loam,57.7,9.4,0.541,Tea
01-2016,Central,Maize,22.34,17.19,78.51,5.71,Sandy Loam,36.2,9.96,1.812,Tea
01-2016,Central,Tea,75.85,18.38,67.19,5.86,Loam,58.0,7.91,2.638,Tea
01-2016,Central,Maize,52.62,20.12,73.4,5.71,Sandy Loam,38.8,0.67,1.472,Tea
01-2016,Central,Potatoes,31.96,15.22,78.94,6.58,Clay Loam,71.7,2.88,4.174,Tea
01-2016,Central,Beans,45.49,19.03,70.87,6.55,Clay Loam,89.1,2.35,0.953,Tea
01-2016,Central,Potatoes,13.71,19.21,70.21,6.49,Clay Loam,64.7,5.94,4.939,Tea
01-2016,Central,Tea,39.31,16.81,67.13,5.87,Loam,53.7,7.11,2.339,Tea
